time,torso,rhip,lhip,rknee,lknee,rankle,lankle,rmtp,lmtp,rshoulder,lshoulder,relbow,lelbow,vcmx,vcmy
s,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,m/s,m/s
0.089,85.82602087863577,105.41298580723878,199.12680670495513,68.00252598831722,157.15166512928243,117.99738017762957,130.27482564920413,134.15476327846295,468.39176371398,-58.64749017983064,19.793795963546728,261.0327400167884,267.5729973677145,9.70200260857391,0.6110551739057267
0.09,85.89076775815136,105.22713585729932,199.77494031890507,68.79404124100492,157.65381068478575,118.04028515603036,131.62097886204964,134.03992779525345,468.68090458044117,-59.055088777604624,19.991739552196847,261.1915739862761,267.9514454816887,9.707543774377967,0.6044934936372528
0.091,85.95197029531019,105.04707719256464,200.40408078529222,69.59104444119791,158.13482872767094,118.08759076883199,132.94639673413926,133.9267660286728,469.0995355892128,-59.454840936515296,20.19386242094302,261.35279263253653,268.33069558050374,9.712791337874673,0.5976103980329347
0.092,86.00959354528752,104.87287308583575,201.01374666905951,70.3936151525183,158.59275927250528,118.13864426932264,134.2470497283204,133.81575065477733,469.6465530426775,-59.84668359099993,20.4003485036868,261.5161197276037,268.71054872000377,9.7177316412265,0.5904476583302618
0.093,86.06361889248227,104.70462942293072,201.60351913791698,71.20185802753542,159.02574074950184,118.19278268864343,135.5190714267648,133.70733125665456,470.31861872671584,-60.230561784994606,20.611331941756433,261.6812668049067,269.0908154386892,9.72235450933852,0.5830453527992876
0.094,86.11404331998642,104.54249263931649,202.17303979507645,72.01590275268182,159.43201168150284,118.24934147772191,136.75878136723205,133.6019287256786,471.10999039217825,-60.60642731963438,20.826895249823124,261.84793381414283,269.4713141317344,9.726653244443133,0.5754414638177218
0.095,86.16087843643135,104.38664735802999,202.72200757859596,72.83590371901278,159.8099110982244,118.3076632129104,137.9627065498056,133.49992832699834,472.0124393379145,-60.97423709100647,21.047068645688057,262.0158098034029,269.8518684510458,9.73062453003921,0.5676714742311377
0.096,86.20414932139927,104.23731384287375,203.2501750794379,73.66203945318455,160.1578781993433,118.36710636972438,139.12760159448277,133.40167144773747,473.0152839797919,-61.33395125004567,21.27183030410633,262.1845735935514,270.2323042148238,9.734268271152779,0.5597679815582428
0.097,86.2438932757139,104.09474536596841,203.75734461620084,74.49451177858262,160.47445164521423,118.42705395436528,140.2504670462003,133.30744655077484,474.10556494839057,-61.685531378333735,21.501107043898514,262.35389450522564,270.612446425562,9.737587396172314,0.551760362169417
0.098,86.28015854832293,103.95922553138911,204.24336429918588,75.33354461401589,160.75826871932173,118.4869216564434,141.32856510612163,133.2174802098898,475.2683765312252,-62.0289388557419,21.734775018589232,262.52343327185156,270.9921167983094,9.740587635604559,0.5436745190613114
0.099,86.31300306770602,103.83106552897333,204.7081241801735,76.17938232719297,161.00806454491726,118.54616525654967,142.35943204025543,133.1319292025094,476.48735146654326,-62.3641335035022,21.972660315313902,262.69284326299737,271.3711317556345,9.743277276372028,0.535532731484412
0.1,86.34249315764596,103.7106012450456,205.15155247645538,77.03228763926828,161.22267156344202,118.60428719946593,143.34088667120773,133.05087450728448,477.74527576572893,-62.69107247150636,22.214539770873174,262.86177206635875,271.7493003977263,9.74566687706212,0.5273536008589238
0.101,86.36870219983878,103.59819016543629,205.57361185139763,77.89253919147609,161.40101959752465,118.6608423580434,144.27103475640374,132.9743178287579,479.0247930495707,-63.009709267230804,22.46014249821657,263.0298633787273,272.12642178672627,9.747768933870397,0.5191520696531815
0.102,86.39170921867009,103.49420803036398,205.9742957873073,78.76042894123216,161.5421368949975,118.71544295227905,145.1482698500179,132.90218099061363,480.30914399615114,-63.31999282021769,22.70915247108482,263.19675909444106,272.50228111100836,9.749597509238411,0.5109394856476572
0.103,86.41159739923633,103.39904522131165,206.35362515480338,79.63625951805494,161.64515247249454,118.76776240747182,145.97127245368554,132.83430818038465,481.58287129198925,-63.62186652479987,22.96121213132163,263.36210145025865,272.8766447905233,9.75116785847861,0.5027236927881518
0.104,86.42845258927869,103.31310286923946,206.71164512689808,80.52034155806766,161.70929987037619,118.81753780373708,146.73901048965246,132.77047063930135,482.83240868131304,-63.915267272525426,23.215926618364804,263.52553509272195,273.24925504664816,9.752496094140861,0.4945091447847613
